query-id,product1,product2,product3,product4,product5
0,103042011,103048541,103058996,103060348,103022608
1,103013182,103049334,103013271,103026445,103059874
2,103060996,103055828,103021636,103038482,103020842
3,103031918,103026658,103048691,103014742,103053402
4,103048629,103012954,103007293,103015434,103061967
5,103016283,103004394,103002463,103040127,103031048
6,103033535,103015590,103043186,103014830,103005612
7,103055943,103032382,103017185,103034140,103058845
8,103045885,103060543,103060230,103005007,103017713
9,103053210,103036194,103011958,103060543,103020568
10,103020203,103028653,103060995,103041897,103009922
11,103057997,103007587,103022199,103065424,103015421
12,103044806,103027352,103014889,103066758,103014213
13,103037414,103007366,103060666,103028073,103040816
14,103019249,103007198,103013363,103025305,103044771
15,103005322,103009698,103057779,103036660,103007239
16,103033036,103042133,103064473,103009467,103019959
17,103006200,103039325,103027755,103043087,103050395
18,103010207,103025784,103010663,103044189,103010846
19,103066458,103059396,103066314,103040976,103016982
20,103022169,103008473,103054290,103047374,103003315
21,103045511,103010375,103033178,103052493,103016746
22,103050343,103005970,103015162,103009701,103042702
23,103049763,103002000,103043710,103039999,103053462
24,103012286,103009969,103036016,103003594,103029620
25,103032777,103028186,103040736,103026473,103037396
26,103036470,103012261,103064905,103062843,103042654
27,103049148,103012021,103016093,103033361,103048662
28,103007847,103008234,103005069,103005378,103004185
29,103065203,103006981,103037923,103061739,103025118
30,103053707,103037923,103065203,103060707,103000301
31,103010253,103055556,103031088,103025118,103065203
32,100469470,103001114,103052577,103061967,103012458
33,103025715,103058038,103003493,103030412,103050304
34,103023784,103025501,103043503,103006769,103004881
35,103003496,103022685,103010243,103060543,103000436
36,103057357,103005962,103056822,103063425,103028202
37,103029636,103009553,103048975,103003760,103042251
38,103039756,103012954,103002365,103012458,103001114
39,103044507,103055323,103045700,103048919,103025197
40,103003760,103050789,103019904,103042251,103000617
41,103011797,103053251,103045699,103031042,103040909
42,103056531,103030463,103039761,103028487,103003462
43,103007340,103030635,103008640,103062361,103035422
44,103036156,103000194,103066436,103032890,103001831
45,103036533,103034951,103048662,103024251,103028205
46,103013870,103025925,103049725,103045691,103041579
47,103065874,103025866,103027403,103010090,103031343
48,103065636,103007341,103056490,103058437,103013349
49,103034711,103000440,103054401,103000473,103048910
50,103017765,103000275,103063772,103039116,103062504
51,103050462,103002108,103019257,103040885,103002324
52,103044051,103055070,103050507,103057851,101423221
53,103024751,103015827,103050971,103016935,103007020
54,103047462,103053022,103026525,103020758,103024300
55,103036055,103025204,103043787,103006082,103060543
56,103031666,103008893,103042759,103025469,103037913
57,103048565,103048436,103060988,103046116,103045490
58,103050438,103005165,103053727,103047372,103048374
59,103006062,103046653,103037467,103055388,103033354
60,103059453,103009813,103017996,103032359,103034838
61,103008814,100469470,103012954,103039172,103012458
62,103017901,103048804,103062361,103027579,103062572
63,103011715,103065064,103044392,103039855,103005650
64,103052858,103057864,103006694,103001684,103021811
65,103059622,103030360,103062224,103057755,103016674
66,103017206,103058070,103002818,103045855,103025705
67,103054044,103052320,103019152,103026843,103007847
68,103024762,103017607,103064283,103017697,103019805
69,103060817,103054187,103014030,103032359,103009813
70,103012954,103061967,103026236,103039172,103014612
71,103045301,103038902,103012458,100469470,103021698
72,103012954,103051163,103061967,103040379,103026129
73,103000894,103012954,103061967,103048629,103014612
74,103011210,103039746,103019328,103059208,103022301
75,103055193,103046026,103042462,103033829,103050382
